Date,Close/Last,Volume,Open,High,Low
11/25/2025,84.79,N/A,85.32,86.18,84.44
11/24/2025,85.43,N/A,83.41,86.47,84.99
11/23/2025,82.79,N/A,83.20,84.37,81.87
11/22/2025,84.13,N/A,82.55,84.37,81.87
11/21/2025,82.05,N/A,87.41,83.88,81.70
11/20/2025,87.10,N/A,93.65,88.57,86.22
11/19/2025,93.30,N/A,93.88,93.79,92.38
11/18/2025,93.97,N/A,93.78,95.91,93.73
11/17/2025,92.48,N/A,96.73,93.12,90.51
11/16/2025,102.09,N/A,102.50,103.36,99.94
11/14/2025,98.00,N/A,100.31,98.96,93.51
11/13/2025,95.99,N/A,99.61,97.25,95.60
11/12/2025,99.31,N/A,99.52,99.89,97.55
11/11/2025,99.41,N/A,104.28,100.20,98.94
11/10/2025,104.28,N/A,108.48,106.90,102.97
11/09/2025,108.60,N/A,100.38,112.02,107.63
11/08/2025,101.44,N/A,103.32,102.84,98.12
11/07/2025,101.99,N/A,88.96,102.84,100.15
11/06/2025,88.53,N/A,88.52,89.19,86.90
11/05/2025,88.58,N/A,87.18,89.37,87.59
11/04/2025,87.23,N/A,89.10,87.45,82.05
11/03/2025,89.89,N/A,94.67,90.99,86.95
11/02/2025,94.53,N/A,100.18,99.76,93.24
11/01/2025,95.96,N/A,94.03,96.44,95.09
10/31/2025,95.77,N/A,93.40,96.28,93.02
10/30/2025,93.87,N/A,98.85,94.51,93.02
10/29/2025,98.72,N/A,96.45,99.74,97.95
10/28/2025,96.42,N/A,100.03,97.09,96.25
10/27/2025,99.68,N/A,100.02,100.62,99.14
10/26/2025,100.01,N/A,96.45,100.87,99.92
10/25/2025,96.53,N/A,96.18,97.05,96.41
10/24/2025,96.26,N/A,94.79,96.96,96.10
10/23/2025,94.56,N/A,92.55,95.28,93.96
10/22/2025,92.59,N/A,92.97,92.96,91.84
10/21/2025,92.96,N/A,92.94,93.26,92.02
10/20/2025,92.91,N/A,94.59,94.08,92.84
10/19/2025,94.46,N/A,92.22,94.52,92.27
10/18/2025,92.26,N/A,90.51,92.58,90.78
10/17/2025,90.63,N/A,92.10,91.30,89.98
10/16/2025,91.95,N/A,94.81,93.02,91.56
10/15/2025,95.08,N/A,97.22,96.33,94.71
10/14/2025,97.36,N/A,98.21,98.34,96.55
10/13/2025,98.05,N/A,99.02,100.44,97.84
10/12/2025,98.84,N/A,93.78,100.05,97.73
10/11/2025,93.67,N/A,100.64,94.24,91.67
10/10/2025,99.53,N/A,131.59,102.50,94.77
10/09/2025,132.24,N/A,118.41,132.74,125.76
10/08/2025,119.48,N/A,116.98,119.73,116.93
10/07/2025,117.32,N/A,118.22,118.32,116.69
10/06/2025,118.37,N/A,120.69,119.04,117.80
10/05/2025,120.97,N/A,122.66,121.21,118.16
10/04/2025,123.28,N/A,119.52,124.12,120.28
10/03/2025,119.45,N/A,117.35,120.95,119.15
10/02/2025,117.80,N/A,118.43,119.55,117.36
10/01/2025,118.41,N/A,105.83,121.40,115.11
09/30/2025,105.89,N/A,106.42,107.07,105.82
09/29/2025,106.45,N/A,106.57,107.16,106.26
09/28/2025,106.54,N/A,103.91,107.24,106.49
09/27/2025,104.58,N/A,104.36,104.94,103.36
09/26/2025,103.97,N/A,103.20,104.43,103.57
09/25/2025,102.78,N/A,104.85,103.90,102.36
09/24/2025,104.55,N/A,105.79,105.83,104.24
09/23/2025,105.87,N/A,106.19,107.60,105.79
09/22/2025,106.58,N/A,111.37,106.63,104.46
09/21/2025,111.41,N/A,114.45,114.50,110.10
09/20/2025,114.39,N/A,114.30,114.41,113.76
09/19/2025,114.51,N/A,117.19,114.54,113.51
09/18/2025,117.21,N/A,117.82,119.45,117.14
09/17/2025,117.89,N/A,114.69,118.08,116.81
09/16/2025,114.81,N/A,112.60,115.86,114.79
09/15/2025,112.77,N/A,115.69,114.02,112.68
09/14/2025,115.72,N/A,116.32,116.18,114.60
09/13/2025,119.95,N/A,117.33,120.81,117.50
09/12/2025,118.05,N/A,115.55,118.52,117.50
09/11/2025,115.54,N/A,116.65,116.91,114.82
09/10/2025,116.54,N/A,112.91,117.76,116.02
09/09/2025,113.77,N/A,113.52,114.68,111.65
09/08/2025,112.01,N/A,114.74,113.57,111.65
09/07/2025,115.26,N/A,112.84,115.40,113.81
09/06/2025,112.64,N/A,112.38,112.86,112.17
09/05/2025,112.23,N/A,111.32,112.53,111.81
09/04/2025,111.27,N/A,111.65,112.55,111.04
09/03/2025,111.66,N/A,111.46,113.50,111.63
09/02/2025,111.39,N/A,110.31,112.22,110.79
09/01/2025,110.32,N/A,108.17,110.38,108.61
08/31/2025,107.86,N/A,111.86,109.27,107.47
08/30/2025,111.69,N/A,110.60,111.77,110.83
08/29/2025,110.53,N/A,113.27,110.87,108.44
08/28/2025,113.41,N/A,112.94,113.81,112.39
08/27/2025,112.83,N/A,114.34,113.12,111.43
08/26/2025,114.45,N/A,110.05,114.45,112.77
08/25/2025,110.08,N/A,117.30,110.33,108.94
08/24/2025,117.78,N/A,121.22,118.65,115.67
08/23/2025,120.88,N/A,120.20,122.09,120.59
08/22/2025,120.24,N/A,115.51,123.33,119.81
08/21/2025,115.41,N/A,116.02,116.49,114.24
08/20/2025,116.23,N/A,113.67,117.25,115.57
08/19/2025,113.67,N/A,115.49,114.44,112.53
08/18/2025,115.46,N/A,116.60,119.03,115.44
08/17/2025,116.30,N/A,120.68,120.93,115.48
08/16/2025,118.40,N/A,121.49,120.81,118.02
08/15/2025,119.87,N/A,122.78,120.81,119.01
08/14/2025,122.68,N/A,133.14,122.89,120.88
08/13/2025,132.81,N/A,131.29,133.27,130.68
08/12/2025,131.15,N/A,119.40,131.46,128.71
08/11/2025,119.43,N/A,125.88,121.46,119.31
08/10/2025,124.07,N/A,121.81,125.90,118.39
08/09/2025,122.88,N/A,123.09,123.45,120.21
08/08/2025,123.49,N/A,121.51,124.23,122.85
08/07/2025,121.40,N/A,119.49,124.33,121.18
08/06/2025,119.81,N/A,118.19,120.99,117.95
08/05/2025,118.26,N/A,121.82,120.47,117.83
08/04/2025,121.99,N/A,111.53,123.50,120.11
08/03/2025,111.36,N/A,107.63,111.89,110.15
08/02/2025,107.93,N/A,107.58,109.08,104.25
